source	target	correlation
Methanobrevibacter	Porphyromonas	0.0006869609729748008
Methanobrevibacter	Alloprevotella	-0.0019188585674810073
Methanobrevibacter	Paraprevotella	-0.0045116217179273724
Methanobrevibacter	Prevotella	-0.013026791731204683
Methanobrevibacter	Alistipes	-0.029969736147220007
Methanobrevibacter	Cellulophaga	-0.003943608478608103
Methanobrevibacter	Pedobacter	-0.0039626347310559975
Methanobrevibacter	Chlorobium	-0.0015094930718463392
Methanobrevibacter	Arthrospira	-0.0013415186003863302
Methanobrevibacter	Deinococcus	-0.006399035451487396
Methanobrevibacter	Bacillus	-0.0013460926989094014
Methanobrevibacter	Gemella	-0.0015224835038574842
Methanobrevibacter	Staphylococcus	-0.001993687469030644
Methanobrevibacter	Abiotrophia	-0.001626861181881325
Methanobrevibacter	Aerococcus	-0.0017158679277454443
Methanobrevibacter	Facklamia	-0.0016159864252883343
Methanobrevibacter	Granulicatella	-0.0009258579753075933
Methanobrevibacter	Enterococcus	-0.004178876086802634
Methanobrevibacter	Tetragenococcus	-0.0013415186003863304
Methanobrevibacter	Lactobacillus	0.013800946817773212
Methanobrevibacter	Pediococcus	-0.0018970603214827782
Methanobrevibacter	Leuconostoc	-0.002617088060393606
Methanobrevibacter	Weissella	-0.003785129924017748
Methanobrevibacter	Lactococcus	-0.0031758070766637735
Methanobrevibacter	Streptococcus	0.00048768184502341627
Methanobrevibacter	Butyricicoccus	-0.005799492103641342
Methanobrevibacter	Clostridiaceae_noname	-0.006130947851644071
Methanobrevibacter	Clostridium	-0.01634883108898564
Methanobrevibacter	Clostridiales_Family_XIII_Incertae_Sedis_noname	-0.0016776872096868787
Methanobrevibacter	Clostridiales_Family_XIII_Incertae_Sedis_unclassified	0.00022927593825295182
Methanobrevibacter	Anaerococcus	0.03565825397405452
Methanobrevibacter	Clostridiales_Family_XI_Incertae_Sedis_noname	0.007080572668508821
Methanobrevibacter	Finegoldia	0.01855969119433578
Methanobrevibacter	Parvimonas	0.004496535399025548
Methanobrevibacter	Peptoniphilus	0.024227708888732227
Methanobrevibacter	Clostridiales_noname	-0.005211544465311449
Methanobrevibacter	Flavonifractor	-0.01456939522309018
Methanobrevibacter	Pseudoflavonifractor	-0.005439457104523675
Methanobrevibacter	Anaerofustis	-0.0036673210371369344
Methanobrevibacter	Eubacterium	0.009798077537313937
Methanobrevibacter	Anaerostipes	-0.008618852239854691
Methanobrevibacter	Blautia	-0.002456236883821602
Methanobrevibacter	Butyrivibrio	0.05624921629648481
Methanobrevibacter	Cellulosilyticum	-0.0013895357136709263
Methanobrevibacter	Coprococcus	0.04678383886375724
Methanobrevibacter	Dorea	0.026600824423183976
Methanobrevibacter	Lachnospiraceae_noname	0.025570370878258027
Methanobrevibacter	Marvinbryantia	0.0045311885835356116
Methanobrevibacter	Oribacterium	-0.001341518600386335
Methanobrevibacter	Roseburia	-0.013568856404331598
Methanobrevibacter	Shuttleworthia	-0.0013415186003863343
Methanobrevibacter	Stomatobaculum	-0.0013415186003863319
Methanobrevibacter	Oscillibacter	-0.018137119057988135
Methanobrevibacter	Peptostreptococcaceae_noname	0.016594311911520825
Methanobrevibacter	Peptostreptococcus	0.007995484474903478
Methanobrevibacter	Anaerotruncus	0.025657628092388397
Methanobrevibacter	Faecalibacterium	-0.024956438751474727
Methanobrevibacter	Ruminococcaceae_noname	-0.013054209565195854
Methanobrevibacter	Ruminococcus	0.08511810281150888
Methanobrevibacter	Subdoligranulum	0.024228698535430082
Methanobrevibacter	Catenibacterium	-0.005962018405767071
Methanobrevibacter	Coprobacillus	-0.003238517278482174
Methanobrevibacter	Erysipelotrichaceae_noname	0.004546232866892892
Methanobrevibacter	Holdemania	0.00873217213128454
Methanobrevibacter	Solobacterium	0.008913120474466294
Methanobrevibacter	Turicibacter	0.22836347150598554
Methanobrevibacter	Acidaminococcaceae_unclassified	-0.005605136960562684
Methanobrevibacter	Acidaminococcus	-0.00721544478067088
Methanobrevibacter	Phascolarctobacterium	0.3143503766000308
Methanobrevibacter	Anaeroglobus	-0.0019123241749270862
Methanobrevibacter	Dialister	-0.017387134468767218
Methanobrevibacter	Megamonas	-0.007424221624527921
Methanobrevibacter	Megasphaera	-0.006266355643020796
Methanobrevibacter	Mitsuokella	0.20668079991937754
Methanobrevibacter	Selenomonas	-0.001341518600386329
Methanobrevibacter	Veillonella	-0.005703077587720014
Methanobrevibacter	Fusobacterium	-0.0038744332572250534
Methanobrevibacter	Leptotrichiaceae_unclassified	-0.0018486252422359516
Methanobrevibacter	Bartonella	-0.0013415186003863293
Methanobrevibacter	Hyphomicrobiaceae_unclassified	-0.0013415186003863315
Methanobrevibacter	Paracoccus	-0.0013415186003863323
Methanobrevibacter	Bordetella	-0.0018173291815688148
Methanobrevibacter	Burkholderia	-0.0067661524966496555
Methanobrevibacter	Lautropia	0.008600123644248843
Methanobrevibacter	Burkholderiales_noname	-0.005069975013339846
Methanobrevibacter	Comamonas	-0.0024895879359201787
Methanobrevibacter	Oxalobacter	0.03274080539259744
Methanobrevibacter	Parasutterella	0.0062138641816179415
Methanobrevibacter	Sutterella	-0.014719735308595421
Methanobrevibacter	Sutterellaceae_unclassified	-0.004546238735040032
Methanobrevibacter	Gallionellaceae_unclassified	-0.003073643934961591
Methanobrevibacter	Chromobacterium	-0.0013415186003863302
Methanobrevibacter	Eikenella	-0.0010019760681477868
Methanobrevibacter	Kingella	-0.0013415186003863306
Methanobrevibacter	Neisseria	-0.0025033996437509635
Methanobrevibacter	Bilophila	0.012636786652336942
Methanobrevibacter	Desulfovibrio	0.05944990593393678
Methanobrevibacter	Campylobacter	-0.001825435904061147
Methanobrevibacter	Aeromonas	-0.0013415186003863319
Methanobrevibacter	Citrobacter	-0.005423707858797484
Methanobrevibacter	Cronobacter	-0.0017503493477578275
Methanobrevibacter	Enterobacter	-0.0012464405624563605
Methanobrevibacter	Enterobacteriaceae_noname	-0.002067219655060952
Methanobrevibacter	Escherichia	0.038896846003545524
Methanobrevibacter	Hafnia	-0.0016923676389565053
Methanobrevibacter	Klebsiella	0.0026462192125006217
Methanobrevibacter	Morganella	-0.003691726637442322
Methanobrevibacter	Pantoea	0.02076324808303083
Methanobrevibacter	Proteus	-0.005182188869029542
Methanobrevibacter	Providencia	-0.001786752857564821
Methanobrevibacter	Rahnella	-0.001341518600386332
Methanobrevibacter	Raoultella	-0.0013634375839477945
Methanobrevibacter	Serratia	0.9159134719696463
Methanobrevibacter	Shigella	-0.0018788535348559022
Methanobrevibacter	Yersinia	-0.0017438175635400652
Methanobrevibacter	Actinobacillus	-0.0033256048457199574
Methanobrevibacter	Aggregatibacter	-0.0022170086440703126
Methanobrevibacter	Haemophilus	-0.005520409252493757
Methanobrevibacter	Acinetobacter	-0.0016160503632537098
Methanobrevibacter	Enhydrobacter	-0.0013415186003863247
Methanobrevibacter	Pseudomonas	0.03051706891303428
Methanobrevibacter	Sinobacteraceae_unclassified	0.08172846296350905
Methanobrevibacter	Wohlfahrtiimonas	-0.0017818520109049623
Methanobrevibacter	Brachyspira	-0.0020151759966093676
Methanobrevibacter	Treponema	-0.0013415186003863362
Methanobrevibacter	Fretibacterium	-0.0013415186003863367
Methanobrevibacter	Jonquetella	-0.0015115863538400771
Methanobrevibacter	Synergistes	0.08582599075070704
Methanobrevibacter	Ureaplasma	-0.0013415186003863332
Methanobrevibacter	Akkermansia	0.004151197636555776
Methanobrevibacter	Debaryomycetaceae_unclassified	-0.0018900813735387141
Methanobrevibacter	Eremothecium	-0.0013415186003863328
Methanobrevibacter	Nakaseomyces	-0.00240216429232745
Methanobrevibacter	Naumovozyma	-0.0022384211260229607
Methanobrevibacter	Saccharomyces	-0.004138309405276477
Methanobrevibacter	Saccharomycetaceae_unclassified	-0.002320098870266754
Methanobrevibacter	Enterocytozoon	-0.001341518600386332
Methanobrevibacter	Hpunalikevirus	0.01076899275757403
Methanobrevibacter	Mulikevirus	-0.0013415186003863386
Methanobrevibacter	Myoviridae_noname	0.005300321432493263
Methanobrevibacter	PhiCD119likevirus	-0.0014523763234693147
Methanobrevibacter	T4likevirus	-0.002014429827776792
Methanobrevibacter	Epsilon15likevirus	-0.0012855627957442748
Methanobrevibacter	P22likevirus	-0.0013915585685644145
Methanobrevibacter	Podoviridae_noname	-0.001827681128681038
Methanobrevibacter	C2likevirus	0.0009550619614950256
Methanobrevibacter	Lambdalikevirus	-0.0023221219045022057
Methanobrevibacter	Siphoviridae_noname	-0.003114246660992895
Methanobrevibacter	Tunalikevirus	-0.0022934688296539856
Methanobrevibacter	Roseolovirus	-0.0013544054850238494
Methanobrevibacter	Simplexvirus	-0.0013415186003863312
Methanobrevibacter	Mastadenovirus	-0.002305795632633027
Methanobrevibacter	Anelloviridae_noname	-0.0018948259730157018
Methanobrevibacter	Gyrovirus	-0.0008400244855274715
Methanobrevibacter	Microvirus	-0.0013415186003863317
Methanobrevibacter	Alphacryptovirus	-0.0013415186003863302
Methanobrevibacter	Potyvirus	-0.0015547208727469226
Methanobrevibacter	Alpharetrovirus	-0.0018899271538381428
Methanobrevibacter	Betaretrovirus	-0.0013415186003863364
Methanobrevibacter	Gammaretrovirus	-0.004107880105673295
Methanobrevibacter	Retroviridae_noname	-0.00244860630518078
Methanobrevibacter	Viruses_noname	-0.002541142206595668
Granulicella	Methanobrevibacter	-0.006326887652725605
Granulicella	Granulicella	1.0
Granulicella	Terriglobus	-0.003007431587379474
Granulicella	Actinobaculum	-0.0030074315873794668
Granulicella	Actinomyces	-0.0065888515680667505
Granulicella	Varibaculum	-0.005149575370717995
Granulicella	Brevibacterium	-0.003097380231254131
Granulicella	Corynebacterium	-0.00395670607740634
Granulicella	Brachybacterium	-0.003007431587379489
Granulicella	Leifsonia	-0.0030074315873794702
Granulicella	Kocuria	-0.003007431587379481
Granulicella	Micrococcus	-0.003398446583759418
Granulicella	Rothia	-0.016031336652120164
Granulicella	Nocardioides	-0.0030074315873794876
Granulicella	Propionibacteriaceae_unclassified	-0.004388046005785869
Granulicella	Propionibacterium	-0.004560602299783297
Granulicella	Alloscardovia	-0.004656924227215976
Granulicella	Bifidobacterium	-0.0021411865199311314
Granulicella	Gardnerella	-0.0061106481270129095
Granulicella	Scardovia	-0.0017850822380101894
Granulicella	Adlercreutzia	-0.0034836839245267538
Granulicella	Atopobium	-0.003276017695921669
Granulicella	Collinsella	0.0005649629224334706
Granulicella	Coriobacteriaceae_noname	0.13220279219931153
Granulicella	Eggerthella	0.04124801574030181
Granulicella	Gordonibacter	0.04996474706922632
Granulicella	Olsenella	-0.004053958496983139
Granulicella	Slackia	0.004409521526465455
Granulicella	Bacteroidetes_noname	-0.00432385357674936
Granulicella	Bacteroides	0.02529648692405921
Granulicella	Bacteroidales_noname	0.06269851156553036
Granulicella	Barnesiella	0.0041258735879446595
Granulicella	Butyricimonas	-0.007736162651341288
Granulicella	Coprobacter	0.040969669827089786
Granulicella	Dysgonomonas	-0.012705527341100203
Granulicella	Odoribacter	0.16251360830252162
Granulicella	Parabacteroides	-0.00705924473637327
Granulicella	Porphyromonas	0.009740518424982846
Granulicella	Alloprevotella	-0.00438893169234882
Granulicella	Paraprevotella	0.026676425979646066
Granulicella	Prevotella	-0.038152453766520635
Granulicella	Alistipes	0.14490115115759508
Granulicella	Cellulophaga	-0.009414514122604191
Granulicella	Pedobacter	-0.008883479406094562
Granulicella	Chlorobium	0.03708462941563046
Granulicella	Arthrospira	-0.003007431587379473
Granulicella	Deinococcus	-0.014764310997854215
Granulicella	Bacillus	-0.0030176858532376645
Granulicella	Gemella	-0.0034131207569142764
Granulicella	Staphylococcus	-0.004469471141137144
Granulicella	Abiotrophia	-0.003647115817300158
Granulicella	Aerococcus	-0.0038466521479366116
Granulicella	Facklamia	-0.003622736664843109
Granulicella	Granulicatella	0.008076978067467074
Granulicella	Enterococcus	-0.009395937589871499
Granulicella	Tetragenococcus	-0.0030074315873794707
Granulicella	Lactobacillus	-0.006162904861353245
Granulicella	Pediococcus	-0.004252851307725851
Granulicella	Leuconostoc	-0.005867017645163332
Granulicella	Weissella	-0.008923194103906228
Granulicella	Lactococcus	-0.008263522195867515
Granulicella	Streptococcus	-0.016567444501338915
Granulicella	Butyricicoccus	-0.013022902062828185
Granulicella	Clostridiaceae_noname	0.05554980202368934
Granulicella	Clostridium	0.035447529297955055
Granulicella	Clostridiales_Family_XIII_Incertae_Sedis_noname	-0.003761058181900577
Granulicella	Clostridiales_Family_XIII_Incertae_Sedis_unclassified	-0.008246692186678957
Granulicella	Anaerococcus	0.0189562939867709
Granulicella	Clostridiales_Family_XI_Incertae_Sedis_noname	-0.0038873043081259647
Granulicella	Finegoldia	-0.005923425070431635
Granulicella	Parvimonas	-0.007436127797139836
Granulicella	Peptoniphilus	0.0165248921096217
Granulicella	Clostridiales_noname	-0.00812274468876818
Granulicella	Flavonifractor	-0.018618619962179322
Granulicella	Pseudoflavonifractor	0.033471470869864635
Granulicella	Anaerofustis	-0.00822144182344596
Granulicella	Eubacterium	-0.020687247007381154
Granulicella	Anaerostipes	-0.003505102670920345
Granulicella	Blautia	0.004023620165493478
Granulicella	Butyrivibrio	-0.013346098662183347
Granulicella	Cellulosilyticum	-0.003115076895603515
Granulicella	Coprococcus	-0.01592740886033541
Granulicella	Dorea	0.015140031194637736
Granulicella	Lachnospiraceae_noname	0.02983797807144879
Granulicella	Marvinbryantia	-0.005553848665237166
Granulicella	Oribacterium	-0.0030074315873794715
Granulicella	Roseburia	-0.03133470169546227
Granulicella	Shuttleworthia	-0.0030074315873794633
Granulicella	Stomatobaculum	-0.003007431587379469
Granulicella	Oscillibacter	0.0043522831621393655
Granulicella	Peptostreptococcaceae_noname	-0.007275468338942901
Granulicella	Peptostreptococcus	-0.006954340370937335
Granulicella	Anaerotruncus	0.020227501657577272
Granulicella	Faecalibacterium	-0.056941477223576106
Granulicella	Ruminococcaceae_noname	-0.016293403438212218
Granulicella	Ruminococcus	0.02175277804449319
Granulicella	Subdoligranulum	0.043702941871471924
Granulicella	Catenibacterium	-0.0007327821001664306
Granulicella	Coprobacillus	-0.0055437805066373795
Granulicella	Erysipelotrichaceae_noname	-0.015897238487951534
Granulicella	Holdemania	0.04189643263380186
Granulicella	Solobacterium	0.1401229148365329
Granulicella	Turicibacter	-0.010579397402339026
Granulicella	Acidaminococcaceae_unclassified	-0.016637240289506038
Granulicella	Acidaminococcus	-0.022180782892345555
Granulicella	Phascolarctobacterium	0.015381487253623795
Granulicella	Anaeroglobus	-0.004287069987198723
Granulicella	Dialister	-0.012018464596728316
Granulicella	Megamonas	-0.016643704096895088
Granulicella	Megasphaera	-0.012859293798514864
Granulicella	Mitsuokella	-0.00195287951809237
Granulicella	Selenomonas	-0.003007431587379472
Granulicella	Veillonella	-0.028227210790468835
Granulicella	Fusobacterium	-0.008685748343419578
Granulicella	Leptotrichiaceae_unclassified	-0.004144268998675367
Granulicella	Bartonella	-0.003007431587379473
Granulicella	Hyphomicrobiaceae_unclassified	-0.0030074315873794707
Granulicella	Paracoccus	-0.0030074315873794707
Granulicella	Bordetella	-0.004074109135529358
Granulicella	Burkholderia	-0.015227778575205124
Granulicella	Lautropia	-0.0042036354882368605
Granulicella	Burkholderiales_noname	-0.008580559480683958
Granulicella	Comamonas	-0.005581186422528188
Granulicella	Oxalobacter	-0.0023048218753266812
Granulicella	Parasutterella	0.06677620726110393
Granulicella	Sutterella	-0.02532950428386931
Granulicella	Sutterellaceae_unclassified	-0.010687470672072057
Granulicella	Gallionellaceae_unclassified	-0.007116061656337835
Granulicella	Chromobacterium	-0.0030074315873794715
Granulicella	Eikenella	-0.0016224607057049904
Granulicella	Kingella	-0.0030074315873794668
Granulicella	Neisseria	-0.005859470206530594
Granulicella	Bilophila	0.0038910528759825767
Granulicella	Desulfovibrio	-0.0086090405641128
Granulicella	Campylobacter	-0.004314455073979939
Granulicella	Aeromonas	-0.003007431587379465
Granulicella	Citrobacter	-0.01129185165767439
Granulicella	Cronobacter	-0.003923952985728253
Granulicella	Enterobacter	0.04895362982538976
Granulicella	Enterobacteriaceae_noname	-0.004634316428331004
Granulicella	Escherichia	-0.022937345370658613
Granulicella	Hafnia	-0.003793968934453007
Granulicella	Klebsiella	-0.012178580383326374
Granulicella	Morganella	-0.008276242214969113
Granulicella	Pantoea	-0.01534283537571566
Granulicella	Proteus	-0.011619328531829645
Granulicella	Providencia	-0.004005562786183883
Granulicella	Rahnella	-0.0030074315873794767
Granulicella	Raoultella	-0.00305656981290017
Granulicella	Serratia	-0.0030469137533334404
Granulicella	Shigella	-0.004369218218035718
Granulicella	Yersinia	-0.003909309957914268
Granulicella	Actinobacillus	-0.011903006594620052
Granulicella	Aggregatibacter	-0.005387035498646942
Granulicella	Haemophilus	-0.01695347093631649
Granulicella	Acinetobacter	-0.0036228800016978196
Granulicella	Enhydrobacter	-0.0030074315873794737
Granulicella	Pseudomonas	-0.0024501101350326198
Granulicella	Sinobacteraceae_unclassified	-0.006363536350868024
Granulicella	Wohlfahrtiimonas	-0.0039945760126531326
Granulicella	Brachyspira	-0.004517644365561979
Granulicella	Treponema	-0.003007431587379475
Granulicella	Fretibacterium	-0.0030074315873794824
Granulicella	Jonquetella	-0.0033886914026248047
Granulicella	Synergistes	-0.00105339725792238
Granulicella	Ureaplasma	-0.00300743158737948
Granulicella	Akkermansia	0.036306745438860824
Granulicella	Debaryomycetaceae_unclassified	-0.004237205823207333
Granulicella	Eremothecium	-0.003007431587379499
Granulicella	Nakaseomyces	-0.005385199108488084
Granulicella	Naumovozyma	-0.00501811782432262
Granulicella	Saccharomyces	0.004868248725500539
Granulicella	Saccharomycetaceae_unclassified	-0.005201223916145673
Granulicella	Enterocytozoon	-0.003007431587379481
Granulicella	Hpunalikevirus	-0.003361782093802174
Granulicella	Mulikevirus	-0.0030074315873794707
Granulicella	Myoviridae_noname	-0.003007431587379475
Granulicella	PhiCD119likevirus	-0.0032559536861477625
Granulicella	T4likevirus	-0.004515971595824776
Granulicella	Epsilon15likevirus	-0.0031982488987932016
Granulicella	P22likevirus	-0.003119611754607037
Granulicella	Podoviridae_noname	-0.0040973162477730835
Granulicella	C2likevirus	-0.009804866954047826
Granulicella	Lambdalikevirus	-0.00536011076885355
Granulicella	Siphoviridae_noname	-0.005610685862884155
Granulicella	Tunalikevirus	-0.005141524389587529
Granulicella	Roseolovirus	-0.0030363215512686286
Granulicella	Simplexvirus	-0.0030074315873794694
Granulicella	Mastadenovirus	-0.005169206179042922
Granulicella	Anelloviridae_noname	-0.00424784232003447
Granulicella	Gyrovirus	0.006195084688265617
Granulicella	Microvirus	-0.003007431587379483
Granulicella	Alphacryptovirus	-0.0030074315873794702
Granulicella	Potyvirus	-0.0031450408835044033
Granulicella	Alpharetrovirus	-0.004236860091736476
Granulicella	Betaretrovirus	-0.0030074315873794702
Granulicella	Gammaretrovirus	-0.006244641324063349
Granulicella	Retroviridae_noname	-0.005489313338731598
Granulicella	Viruses_noname	-0.005696761370239785
Terriglobus	Methanobrevibacter	-0.001341518600386331
Terriglobus	Granulicella	-0.003007431587379474
Terriglobus	Terriglobus	1.0
Terriglobus	Actinobaculum	-0.0006108735491753215
Terriglobus	Actinomyces	-0.0013383363928425923
Terriglobus	Varibaculum	-0.0010459886757382105
Terriglobus	Brevibacterium	-0.0006291440387045912
Terriglobus	Corynebacterium	-0.0008036914604115285
Terriglobus	Brachybacterium	-0.0006108735491753186
Terriglobus	Leifsonia	-0.0006108735491753231
Terriglobus	Kocuria	-0.0006108735491753208
Terriglobus	Micrococcus	-0.0006902970411748588
Terriglobus	Rothia	0.011388392023647484
Terriglobus	Nocardioides	-0.0006108735491753203
Terriglobus	Propionibacteriaceae_unclassified	-0.0009570103477147319
Terriglobus	Propionibacterium	-0.0011183011830777168
Terriglobus	Alloscardovia	-0.0009459207128295066
Terriglobus	Bifidobacterium	-0.00805360883097397
Terriglobus	Gardnerella	-0.0012412030666880448
Terriglobus	Scardovia	-0.0015550279831022039
Terriglobus	Adlercreutzia	-0.0031758763104201304
Terriglobus	Atopobium	-0.0006654291208042394
Terriglobus	Collinsella	-0.003534187234922899
Terriglobus	Coriobacteriaceae_noname	-0.0012802859576642696
Terriglobus	Eggerthella	-0.005496083937222156
Terriglobus	Gordonibacter	-0.002007318516791056
Terriglobus	Olsenella	-0.0008234455026853662
Terriglobus	Slackia	-0.0015408670038677807
Terriglobus	Bacteroidetes_noname	-0.000878266954309941
Terriglobus	Bacteroides	0.02172285539574888
Terriglobus	Bacteroidales_noname	0.022090908624554446
Terriglobus	Barnesiella	-0.009947373598105802
Terriglobus	Butyricimonas	-0.0020891885513792028
Terriglobus	Coprobacter	-0.0023825501893903725
Terriglobus	Dysgonomonas	-0.0025852281996968213
Terriglobus	Odoribacter	0.002205823251322369
Terriglobus	Parabacteroides	-0.014496196241710335
Terriglobus	Porphyromonas	-0.0013280256963792239
Terriglobus	Alloprevotella	-0.001184575809698714
Terriglobus	Paraprevotella	0.10042860789798747
Terriglobus	Prevotella	-0.008064137379786469
Terriglobus	Alistipes	-0.01273163901856047
Terriglobus	Cellulophaga	-0.0019122887715785457
Terriglobus	Pedobacter	-0.0018044242856927015
Terriglobus	Chlorobium	-0.0008195121763836447
Terriglobus	Arthrospira	-0.000610873549175321
Terriglobus	Deinococcus	-0.0029989467086252975
Terriglobus	Bacillus	-0.0006129564094489392
Terriglobus	Gemella	-0.0006932776789635756
Terriglobus	Staphylococcus	-0.0009078449898513401
Terriglobus	Abiotrophia	-0.0007408070703642921
Terriglobus	Aerococcus	-0.0007813371582295669
Terriglobus	Facklamia	-0.0007358551441260217
Terriglobus	Granulicatella	-0.001866431457362848
Terriglobus	Enterococcus	-0.0019085154812635134
Terriglobus	Tetragenococcus	-0.0006108735491753187
Terriglobus	Lactobacillus	-0.0016772304600953763
Terriglobus	Pediococcus	-0.000863844877924267
Terriglobus	Leuconostoc	-0.0011917165155195025
Terriglobus	Weissella	-0.0018124911885304634
Terriglobus	Lactococcus	-0.0017163856938066852
Terriglobus	Streptococcus	-0.004045802699361581
Terriglobus	Butyricicoccus	-0.0026452293834601766
Terriglobus	Clostridiaceae_noname	-0.005071112226032721
Terriglobus	Clostridium	-0.009449180064256262
Terriglobus	Clostridiales_Family_XIII_Incertae_Sedis_noname	-0.0007639511967201387
Terriglobus	Clostridiales_Family_XIII_Incertae_Sedis_unclassified	-0.001675079209174148
Terriglobus	Anaerococcus	-0.0013237751917054555
Terriglobus	Clostridiales_Family_XI_Incertae_Sedis_noname	-0.0007895944796864282
Terriglobus	Finegoldia	-0.0012031740676108286
Terriglobus	Parvimonas	-0.0015104362801210765
Terriglobus	Peptoniphilus	-0.0014964920928784528
Terriglobus	Clostridiales_noname	-0.00375939315126276
Terriglobus	Flavonifractor	-0.00690117558575859
Terriglobus	Pseudoflavonifractor	-0.004461868798698319
Terriglobus	Anaerofustis	-0.0016699503214312546
Terriglobus	Eubacterium	-0.010130096087927152
Terriglobus	Anaerostipes	-0.008010641847831174
Terriglobus	Blautia	-0.010318550752333563
Terriglobus	Butyrivibrio	-0.002980505342379716
Terriglobus	Cellulosilyticum	-0.000632738608970144
Terriglobus	Coprococcus	-0.005376312316548994
Terriglobus	Dorea	-0.00866031463099135
Terriglobus	Lachnospiraceae_noname	-0.01016703584321405
Terriglobus	Marvinbryantia	-0.0011281052110888683
Terriglobus	Oribacterium	-0.0006108735491753217
Terriglobus	Roseburia	0.005401292307076629
Terriglobus	Shuttleworthia	-0.0006108735491753217
Terriglobus	Stomatobaculum	-0.0006108735491753189
Terriglobus	Oscillibacter	-0.009462597485644006
Terriglobus	Peptostreptococcaceae_noname	-0.0017593442529279437
Terriglobus	Peptostreptococcus	-0.0014805587840387015
Terriglobus	Anaerotruncus	-0.008582524001696595
Terriglobus	Faecalibacterium	-0.011907893020784703
Terriglobus	Ruminococcaceae_noname	-0.006380136395956731
Terriglobus	Ruminococcus	-0.007395372946070382
Terriglobus	Subdoligranulum	0.014986488165298854
Terriglobus	Catenibacterium	-0.0009984315365299597
Terriglobus	Coprobacillus	-0.003673686097235428
Terriglobus	Erysipelotrichaceae_noname	-0.0054233193380740195
Terriglobus	Holdemania	-0.006154275978250994
Terriglobus	Solobacterium	-0.0011087068711743311
Terriglobus	Turicibacter	-0.0021489014301848976
Terriglobus	Acidaminococcaceae_unclassified	-0.0033793786255297475
Terriglobus	Acidaminococcus	-0.004521532378106563
Terriglobus	Phascolarctobacterium	-0.005192313923246018
Terriglobus	Anaeroglobus	-0.0008707954221246425
Terriglobus	Dialister	-0.007794820925621454
Terriglobus	Megamonas	-0.003380691562780765
Terriglobus	Megasphaera	-0.003404035771309299
Terriglobus	Mitsuokella	-0.001740717631204366
Terriglobus	Selenomonas	-0.0006108735491753203
Terriglobus	Veillonella	-0.0038706752114110294
Terriglobus	Fusobacterium	-0.001764260886283932
Terriglobus	Leptotrichiaceae_unclassified	-0.0008417894932612562
Terriglobus	Bartonella	-0.0006108735491753205
Terriglobus	Hyphomicrobiaceae_unclassified	-0.0006108735491753224
Terriglobus	Paracoccus	-0.0006108735491753196
Terriglobus	Bordetella	-0.0008275385274904984
Terriglobus	Burkholderia	-0.003093086866324021
Terriglobus	Lautropia	-0.0008538480944719072
Terriglobus	Burkholderiales_noname	-0.00777740553177475
Terriglobus	Comamonas	-0.001133658093120478
Terriglobus	Oxalobacter	-0.0018105676033733685
Terriglobus	Parasutterella	-0.007061903812843632
Terriglobus	Sutterella	0.030362061037324917
Terriglobus	Sutterellaceae_unclassified	-0.0046411699541207135
Terriglobus	Gallionellaceae_unclassified	-0.0014454240150963073
Terriglobus	Chromobacterium	-0.0006108735491753202
Terriglobus	Eikenella	-0.0011915877936297967
