sample	group	feature	value	view
C3002	IBD	PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.22178094	metagenomics
C3002	IBD	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.13109097	metagenomics
C3002	IBD	PWY0-1319: CDP-diacylglycerol biosynthesis II	0.1496455	metagenomics
C3002	IBD	PWY-5667: CDP-diacylglycerol biosynthesis I	0.1496455	metagenomics
C3002	IBD	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.11033697	metagenomics
C3002	IBD	PWY-6737: starch degradation V|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.0003953523	metagenomics
C3002	IBD	PWY-5484: glycolysis II (from fructose 6-phosphate)	0.1122451	metagenomics
C3002	IBD	PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	0.12876382	metagenomics
C3002	IBD	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	0.17680619	metagenomics
C3002	IBD	PWY-6609: adenine and adenosine salvage III	0.17164463	metagenomics
C3002	IBD	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	0.16784276	metagenomics
C3002	IBD	PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	0.19289707	metagenomics
C3002	IBD	PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_vulgatus	0.18462318	metagenomics
C3002	IBD	PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	0.032515762	metagenomics
C3002	IBD	PWY-6737: starch degradation V|unclassified	0.0019026544	metagenomics
C3002	IBD	PWY-6151: S-adenosyl-L-methionine cycle I|g__Bacteroides.s__Bacteroides_vulgatus	0.18017846	metagenomics
C3002	IBD	PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0.0001871114	metagenomics
C3002	IBD	PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	0.18477539	metagenomics
C3002	IBD	PWY-6703: preQ0 biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.17285227	metagenomics
C3002	IBD	PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.19113095	metagenomics
C3002	IBD	PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.15757425	metagenomics
C3002	IBD	VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.16800017	metagenomics
C3002	IBD	PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_vulgatus	0.16800017	metagenomics
C3003	IBD	UNGROUPED	18816.0	proteomics
C3003	IBD	K00262: glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	401.0	proteomics
C3003	IBD	K01006: pyruvate, orthophosphate dikinase [EC:2.7.9.1]	197.0	proteomics
C3003	IBD	K03737: pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]	149.0	proteomics
C3003	IBD	K01805: xylose isomerase [EC:5.3.1.5]	176.0	proteomics
C3003	IBD	K02358: elongation factor EF-Tu	360.0	proteomics
C3003	IBD	K01812: glucuronate isomerase [EC:5.3.1.12]	101.0	proteomics
C3003	IBD	K00831: phosphoserine aminotransferase [EC:2.6.1.52]	37.0	proteomics
C3003	IBD	K03521: electron transfer flavoprotein beta subunit	51.0	proteomics
C3003	IBD	K00024: malate dehydrogenase [EC:1.1.1.37]	148.0	proteomics
C3003	IBD	K00626: acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	99.0	proteomics
C3003	IBD	K02967: small subunit ribosomal protein S2	73.0	proteomics
C3003	IBD	K10117: raffinose/stachyose/melibiose transport system substrate-binding protein	159.0	proteomics
C3003	IBD	K04043: molecular chaperone DnaK	219.0	proteomics
C3003	IBD	K04077: chaperonin GroEL	304.0	proteomics
C3003	IBD	K01960: pyruvate carboxylase subunit B [EC:6.4.1.1]	6.0	proteomics
C3003	IBD	K01278: dipeptidyl-peptidase 4 [EC:3.4.14.5]	14.0	proteomics
C3003	IBD	K02357: elongation factor EF-Ts	78.0	proteomics
C3003	IBD	K03046: DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]	112.0	proteomics
C3003	IBD	K01803: triosephosphate isomerase (TIM) [EC:5.3.1.1]	123.0	proteomics
C3003	IBD	K07175: PhoH-like ATPase	26.0	proteomics
C3003	IBD	K00615: transketolase [EC:2.2.1.1]	24.0	proteomics
C3003	IBD	K01876: aspartyl-tRNA synthetase [EC:6.1.1.12]	25.0	proteomics
C3003	IBD	K03809: NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	0.0	proteomics
C3003	IBD	K01787: N-acylglucosamine 2-epimerase [EC:5.1.3.8]	3.0	proteomics
C3003	IBD	IGHG1	10325.0	transcriptomics
C3003	IBD	PIGR	830842.0	transcriptomics
C3003	IBD	IGHA1	109698.0	transcriptomics
C3003	IBD	IGHM	44017.0	transcriptomics
C3003	IBD	REG1A	107854.0	transcriptomics
C3003	IBD	IGHA2	41722.0	transcriptomics
C3003	IBD	IGJ	220417.0	transcriptomics
C3003	IBD	OLFM4	213547.0	transcriptomics
C3003	IBD	CEACAM5	305266.0	transcriptomics
C3003	IBD	REG1B	3814.0	transcriptomics
C3003	IBD	ITLN1	53480.0	transcriptomics
C3003	IBD	B2M	643250.0	transcriptomics
C3003	IBD	IGKV3-20	24432.0	transcriptomics
C3003	IBD	MMP1	1484.0	transcriptomics
C3003	IBD	CLCA1	675248.0	transcriptomics
C3003	IBD	COL3A1	59577.0	transcriptomics
C3003	IBD	ALDOB	585299.0	transcriptomics
C3003	IBD	hsa-mir-6723	16493.0	transcriptomics
C3003	IBD	IGKV3-11	14437.0	transcriptomics
C3003	IBD	AGR2	290926.0	transcriptomics
C3003	IBD	LCN2	4784.0	transcriptomics
C3003	IBD	MMP3	312.0	transcriptomics
C3003	IBD	SLC26A3	680778.0	transcriptomics
C3003	IBD	IGHV3-23	18031.0	transcriptomics
C3003	IBD	EEF1A1	932285.0	transcriptomics
C3003	IBD	PWY-6737: starch degradation V	0.13223321	metagenomics
C3003	IBD	PPGPPMET-PWY: ppGpp biosynthesis	0.0001295853	metagenomics
C3003	IBD	PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.000458513	metagenomics
C3003	IBD	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.12899968	metagenomics
C3003	IBD	PWY0-1319: CDP-diacylglycerol biosynthesis II	0.1647346	metagenomics
C3003	IBD	PWY-5667: CDP-diacylglycerol biosynthesis I	0.1647346	metagenomics
C3003	IBD	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.09107495	metagenomics
C3003	IBD	PWY-6737: starch degradation V|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.02705665	metagenomics
C3003	IBD	PWY-5484: glycolysis II (from fructose 6-phosphate)	0.0919188	metagenomics
C3003	IBD	PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	0.10819586	metagenomics
C3003	IBD	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	0.000307188	metagenomics
C3003	IBD	PWY-6609: adenine and adenosine salvage III	0.094977	metagenomics
C3003	IBD	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	0.000278142	metagenomics
C3003	IBD	PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	7.83117e-05	metagenomics
C3003	IBD	PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_vulgatus	0.000359107	metagenomics
C3003	IBD	PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	0.021173285	metagenomics
C3003	IBD	PWY-6737: starch degradation V|unclassified	0.014049629	metagenomics
C3003	IBD	PWY-6151: S-adenosyl-L-methionine cycle I|g__Bacteroides.s__Bacteroides_vulgatus	4.26533e-05	metagenomics
C3003	IBD	PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0.05546858	metagenomics
C3003	IBD	PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	7.77064e-05	metagenomics
C3003	IBD	PWY-6703: preQ0 biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	8.87208e-05	metagenomics
C3003	IBD	PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.001423905	metagenomics
C3003	IBD	PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.00018102800000000002	metagenomics
C3003	IBD	VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	9.88487e-05	metagenomics
C3003	IBD	PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_vulgatus	9.88487e-05	metagenomics
C3004	IBD	UNGROUPED	11063.0	proteomics
C3004	IBD	K00262: glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	205.0	proteomics
C3004	IBD	K01006: pyruvate, orthophosphate dikinase [EC:2.7.9.1]	13.0	proteomics
C3004	IBD	K03737: pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]	0.0	proteomics
C3004	IBD	K01805: xylose isomerase [EC:5.3.1.5]	195.0	proteomics
C3004	IBD	K02358: elongation factor EF-Tu	20.0	proteomics
C3004	IBD	K01812: glucuronate isomerase [EC:5.3.1.12]	107.0	proteomics
C3004	IBD	K00831: phosphoserine aminotransferase [EC:2.6.1.52]	33.0	proteomics
C3004	IBD	K03521: electron transfer flavoprotein beta subunit	0.0	proteomics
C3004	IBD	K00024: malate dehydrogenase [EC:1.1.1.37]	82.0	proteomics
C3004	IBD	K00626: acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	8.0	proteomics
C3004	IBD	K02967: small subunit ribosomal protein S2	6.0	proteomics
C3004	IBD	K10117: raffinose/stachyose/melibiose transport system substrate-binding protein	43.0	proteomics
C3004	IBD	K04043: molecular chaperone DnaK	33.0	proteomics
C3004	IBD	K04077: chaperonin GroEL	18.0	proteomics
C3004	IBD	K01960: pyruvate carboxylase subunit B [EC:6.4.1.1]	5.0	proteomics
C3004	IBD	K01278: dipeptidyl-peptidase 4 [EC:3.4.14.5]	15.0	proteomics
C3004	IBD	K02357: elongation factor EF-Ts	11.0	proteomics
C3004	IBD	K03046: DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]	8.0	proteomics
C3004	IBD	K01803: triosephosphate isomerase (TIM) [EC:5.3.1.1]	84.0	proteomics
C3004	IBD	K07175: PhoH-like ATPase	4.0	proteomics
C3004	IBD	K00615: transketolase [EC:2.2.1.1]	0.0	proteomics
C3004	IBD	K01876: aspartyl-tRNA synthetase [EC:6.1.1.12]	13.0	proteomics
C3004	IBD	K03809: NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	1.0	proteomics
C3004	IBD	K01787: N-acylglucosamine 2-epimerase [EC:5.1.3.8]	8.0	proteomics
C3004	IBD	IGHG1	84260.0	transcriptomics
C3004	IBD	PIGR	509224.0	transcriptomics
C3004	IBD	IGHA1	342274.0	transcriptomics
C3004	IBD	IGHM	78668.0	transcriptomics
C3004	IBD	REG1A	95685.0	transcriptomics
C3004	IBD	IGHA2	117499.0	transcriptomics
C3004	IBD	IGJ	393953.0	transcriptomics
C3004	IBD	OLFM4	513180.0	transcriptomics
C3004	IBD	CEACAM5	147441.0	transcriptomics
C3004	IBD	REG1B	4655.0	transcriptomics
C3004	IBD	ITLN1	124257.0	transcriptomics
C3004	IBD	B2M	649916.0	transcriptomics
C3004	IBD	IGKV3-20	50340.0	transcriptomics
C3004	IBD	MMP1	5230.0	transcriptomics
C3004	IBD	CLCA1	667744.0	transcriptomics
C3004	IBD	COL3A1	298938.0	transcriptomics
C3004	IBD	ALDOB	592509.0	transcriptomics
C3004	IBD	hsa-mir-6723	17530.0	transcriptomics
C3004	IBD	IGKV3-11	42238.0	transcriptomics
C3004	IBD	AGR2	275062.0	transcriptomics
C3004	IBD	LCN2	4952.0	transcriptomics
C3004	IBD	MMP3	1122.0	transcriptomics
C3004	IBD	SLC26A3	126108.0	transcriptomics
C3004	IBD	IGHV3-23	48128.0	transcriptomics
C3004	IBD	EEF1A1	1123723.0	transcriptomics
C3004	IBD	PWY-6737: starch degradation V	0.3103674	metagenomics
C3004	IBD	PPGPPMET-PWY: ppGpp biosynthesis	0.00329151453	metagenomics
C3004	IBD	PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.16339418	metagenomics
C3004	IBD	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.18593458000000002	metagenomics
C3004	IBD	PWY0-1319: CDP-diacylglycerol biosynthesis II	0.4365131	metagenomics
C3004	IBD	PWY-5667: CDP-diacylglycerol biosynthesis I	0.4365131	metagenomics
C3004	IBD	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.11875205	metagenomics
C3004	IBD	PWY-6737: starch degradation V|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.0299061505	metagenomics
C3004	IBD	PWY-5484: glycolysis II (from fructose 6-phosphate)	0.11967252	metagenomics
C3004	IBD	PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	0.26535337000000003	metagenomics
C3004	IBD	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	0.12518957	metagenomics
C3004	IBD	PWY-6609: adenine and adenosine salvage III	0.16396821	metagenomics
C3004	IBD	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	0.12190149	metagenomics
C3004	IBD	PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	0.13436914	metagenomics
C3004	IBD	PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_vulgatus	0.11989521	metagenomics
C3004	IBD	PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	0.053108045	metagenomics
C3004	IBD	PWY-6737: starch degradation V|unclassified	0.044953499	metagenomics
C3004	IBD	PWY-6151: S-adenosyl-L-methionine cycle I|g__Bacteroides.s__Bacteroides_vulgatus	0.14729312	metagenomics
C3004	IBD	PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0.12885741	metagenomics
C3004	IBD	PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	0.12267417	metagenomics
C3004	IBD	PWY-6703: preQ0 biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.12332578	metagenomics
C3004	IBD	PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.11301401	metagenomics
C3004	IBD	PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.12012207	metagenomics
C3004	IBD	VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.11639999	metagenomics
C3004	IBD	PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_vulgatus	0.11639999	metagenomics
C3005	IBD	UNGROUPED	9261.0	proteomics
C3005	IBD	K00262: glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	225.0	proteomics
C3005	IBD	K01006: pyruvate, orthophosphate dikinase [EC:2.7.9.1]	49.0	proteomics
C3005	IBD	K03737: pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]	21.0	proteomics
C3005	IBD	K01805: xylose isomerase [EC:5.3.1.5]	81.0	proteomics
C3005	IBD	K02358: elongation factor EF-Tu	128.0	proteomics
C3005	IBD	K01812: glucuronate isomerase [EC:5.3.1.12]	123.0	proteomics
C3005	IBD	K00831: phosphoserine aminotransferase [EC:2.6.1.52]	36.0	proteomics
C3005	IBD	K03521: electron transfer flavoprotein beta subunit	12.0	proteomics
C3005	IBD	K00024: malate dehydrogenase [EC:1.1.1.37]	74.0	proteomics
C3005	IBD	K00626: acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	14.0	proteomics
C3005	IBD	K02967: small subunit ribosomal protein S2	16.0	proteomics
C3005	IBD	K10117: raffinose/stachyose/melibiose transport system substrate-binding protein	35.0	proteomics
C3005	IBD	K04043: molecular chaperone DnaK	133.0	proteomics
C3005	IBD	K04077: chaperonin GroEL	156.0	proteomics
C3005	IBD	K01960: pyruvate carboxylase subunit B [EC:6.4.1.1]	4.0	proteomics
C3005	IBD	K01278: dipeptidyl-peptidase 4 [EC:3.4.14.5]	0.0	proteomics
C3005	IBD	K02357: elongation factor EF-Ts	36.0	proteomics
C3005	IBD	K03046: DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]	22.0	proteomics
C3005	IBD	K01803: triosephosphate isomerase (TIM) [EC:5.3.1.1]	93.0	proteomics
C3005	IBD	K07175: PhoH-like ATPase	18.0	proteomics
C3005	IBD	K00615: transketolase [EC:2.2.1.1]	6.0	proteomics
C3005	IBD	K01876: aspartyl-tRNA synthetase [EC:6.1.1.12]	18.0	proteomics
C3005	IBD	K03809: NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	18.0	proteomics
C3005	IBD	K01787: N-acylglucosamine 2-epimerase [EC:5.1.3.8]	0.0	proteomics
C3005	IBD	IGHG1	25338.0	transcriptomics
C3005	IBD	PIGR	975677.0	transcriptomics
C3005	IBD	IGHA1	317250.0	transcriptomics
C3005	IBD	IGHM	26766.0	transcriptomics
C3005	IBD	REG1A	96702.0	transcriptomics
C3005	IBD	IGHA2	145094.0	transcriptomics
C3005	IBD	IGJ	469985.0	transcriptomics
C3005	IBD	OLFM4	367110.0	transcriptomics
C3005	IBD	CEACAM5	497133.0	transcriptomics
C3005	IBD	REG1B	6109.0	transcriptomics
C3005	IBD	ITLN1	73963.0	transcriptomics
C3005	IBD	B2M	906654.0	transcriptomics
C3005	IBD	IGKV3-20	68856.0	transcriptomics
C3005	IBD	MMP1	1808.0	transcriptomics
C3005	IBD	CLCA1	252160.0	transcriptomics
C3005	IBD	COL3A1	43167.0	transcriptomics
C3005	IBD	ALDOB	475075.0	transcriptomics
C3005	IBD	hsa-mir-6723	19021.0	transcriptomics
C3005	IBD	IGKV3-11	22384.0	transcriptomics
C3005	IBD	AGR2	467755.0	transcriptomics
C3005	IBD	LCN2	10386.0	transcriptomics
C3005	IBD	MMP3	426.0	transcriptomics
C3005	IBD	SLC26A3	326133.0	transcriptomics
C3005	IBD	IGHV3-23	53280.0	transcriptomics
C3005	IBD	EEF1A1	1013135.0	transcriptomics
C3005	IBD	PWY-6737: starch degradation V	0.12026998	metagenomics
C3005	IBD	PPGPPMET-PWY: ppGpp biosynthesis	0.009004952	metagenomics
C3005	IBD	PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.018138193	metagenomics
C3005	IBD	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.08234672	metagenomics
C3005	IBD	PWY0-1319: CDP-diacylglycerol biosynthesis II	0.16999152	metagenomics
C3005	IBD	PWY-5667: CDP-diacylglycerol biosynthesis I	0.16999152	metagenomics
C3005	IBD	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.05802281	metagenomics
C3005	IBD	PWY-6737: starch degradation V|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.013434716000000001	metagenomics
C3005	IBD	PWY-5484: glycolysis II (from fructose 6-phosphate)	0.05757633	metagenomics
C3005	IBD	PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	0.10390242	metagenomics
C3005	IBD	PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	0.013947202799999999	metagenomics
C3005	IBD	PWY-6609: adenine and adenosine salvage III	0.07749618	metagenomics
C3005	IBD	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	0.0133585102	metagenomics
C3005	IBD	PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	0.0154873685	metagenomics
C3005	IBD	PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_vulgatus	0.013256683	metagenomics
C3005	IBD	PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	0.044914420000000004	metagenomics
C3005	IBD	PWY-6737: starch degradation V|unclassified	0.023846941	metagenomics
C3005	IBD	PWY-6151: S-adenosyl-L-methionine cycle I|g__Bacteroides.s__Bacteroides_vulgatus	0.0158902324	metagenomics
C3005	IBD	PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0.021982611	metagenomics
C3005	IBD	PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	0.0146555991	metagenomics
C3005	IBD	PWY-6703: preQ0 biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.013939484899999998	metagenomics
C3005	IBD	PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.015215672000000001	metagenomics
C3005	IBD	PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.0121924014	metagenomics
C3005	IBD	VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.0125525063	metagenomics
C3005	IBD	PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_vulgatus	0.0125525063	metagenomics
C3006	IBD	UNGROUPED	13340.0	proteomics
C3006	IBD	K00262: glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	307.0	proteomics
C3006	IBD	K01006: pyruvate, orthophosphate dikinase [EC:2.7.9.1]	152.0	proteomics
C3006	IBD	K03737: pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]	139.0	proteomics
C3006	IBD	K01805: xylose isomerase [EC:5.3.1.5]	120.0	proteomics
C3006	IBD	K02358: elongation factor EF-Tu	280.0	proteomics
C3006	IBD	K01812: glucuronate isomerase [EC:5.3.1.12]	110.0	proteomics
C3006	IBD	K00831: phosphoserine aminotransferase [EC:2.6.1.52]	22.0	proteomics
C3006	IBD	K03521: electron transfer flavoprotein beta subunit	35.0	proteomics
C3006	IBD	K00024: malate dehydrogenase [EC:1.1.1.37]	86.0	proteomics
C3006	IBD	K00626: acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	67.0	proteomics
C3006	IBD	K02967: small subunit ribosomal protein S2	49.0	proteomics
C3006	IBD	K10117: raffinose/stachyose/melibiose transport system substrate-binding protein	162.0	proteomics
C3006	IBD	K04043: molecular chaperone DnaK	127.0	proteomics
C3006	IBD	K04077: chaperonin GroEL	157.0	proteomics
C3006	IBD	K01960: pyruvate carboxylase subunit B [EC:6.4.1.1]	11.0	proteomics
C3006	IBD	K01278: dipeptidyl-peptidase 4 [EC:3.4.14.5]	8.0	proteomics
C3006	IBD	K02357: elongation factor EF-Ts	57.0	proteomics
